epoch,acc,loss,val_acc,val_loss
0,0.56113769271664,1.1585767859688427,0.7968279283963132,0.4647545653170735
1,0.823852560694666,0.3964074864658759,0.796163388279214,0.4773711976790796
2,0.8607566896934955,0.29691358849382476,0.9033758639021797,0.20199751511847278
3,0.8819776714513556,0.25188042732437893,0.8979709374551842,0.24037936839750212
4,0.8883129541129904,0.23387559878420539,0.9020467836362935,0.21482434512589516
5,0.8974836080099238,0.21430822433984684,0.9072301966933183,0.20548968654553054
6,0.9038631933368776,0.20016421675787693,0.7220007088533766,1.5554985329548392
7,0.9048378522062732,0.19517793249581145,0.8727627148574154,0.2756116954639789
8,0.9093124224703172,0.18354401074253496,0.9249955697429744,0.14576567022085993
9,0.9152489810490173,0.17319630413597914,0.9420077972709552,0.12425255153909782
10,0.9154261917419813,0.17120601066762667,0.8740474924579825,0.3100261219148198
11,0.9179957469431154,0.16344659468058406,0.9441343257027105,0.12213167814620733
12,0.9251284777600567,0.15852323884018005,0.794612794602232,0.613634354453887
13,0.9222931065141954,0.16031975318792757,0.6466418571787356,1.318505578085017
14,0.9233563707353544,0.15732042902848536,0.9371345029345391,0.12136376286844783
15,0.9327485380011333,0.143455524336208,0.9379319510792833,0.12738136368193526
16,0.9312422470211581,0.14619105626257434,0.8811802232749238,0.3543391817404661
17,0.9354953039057939,0.14084943613272155,0.9429381534750318,0.11130387189261841
18,0.936912989555131,0.13296916368565154,0.9047935495409543,0.23574096576005205
19,0.9381534644798165,0.13290239864606795,0.9493620414567421,0.11507643602000216
20,0.94377990430622,0.12447483781820892,0.9343877370087534,0.14136141632692983
21,0.9453304979726395,0.12017105598330773,0.8876484139536408,0.33521876412462137
22,0.9457735247208932,0.12060242310699769,0.9634059897112166,0.0873240670649724
23,0.9462608541661536,0.11795848142075112,0.9158249158143532,0.2633604413727254
24,0.9505582137161085,0.11377779134944802,0.9479886585044117,0.1284887410691079
25,0.9502923976608187,0.11161667449311037,0.945153287269113,0.12017454281079627
26,0.954678362583662,0.10279690313456478,0.9769183058762368,0.06286776679710422
27,0.9422293106503633,0.13749230460280457,0.959861775661812,0.0923320340461687
